,D1_pbf,D1_analf,D1_negros,D1_obitos_viol,D1_risco_amb,D2_sem_saneam,D2_sem_lixo,D2_sem_esf,D2_evasao_em,D2_sem_creche,D3_entidades,D4_mae_adol,D5_menor1,D5_adol,D5_mif,D5_idosos
DEMO_001,0.75,0.25,1.0,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.75,0.25,1.0,0.75,0.25,0.25
DEMO_002,0.75,0.25,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.25,0.75,1.0
DEMO_003,1.0,1.0,0.25,0.25,1.0,0.25,0.25,0.25,1.0,0.25,0.75,1.0,1.0,0.25,0.75,1.0
DEMO_004,0.25,0.25,0.25,0.25,0.25,1.0,0.5,1.0,0.75,1.0,0.5,0.25,1.0,0.25,0.25,0.75
DEMO_005,0.75,0.5,0.25,0.25,0.5,0.75,0.25,0.75,0.25,0.75,0.5,0.25,0.25,1.0,0.75,0.25
DEMO_006,0.25,1.0,0.25,0.25,0.25,0.5,0.75,0.75,0.25,0.25,0.25,0.25,0.5,1.0,0.5,0.25
DEMO_007,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.75,0.75,0.25
DEMO_008,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.75,0.25,0.75,0.25,0.75,0.75
DEMO_009,0.25,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.5,1.0,0.25,0.25,0.75,0.5
DEMO_010,0.25,0.25,0.75,0.25,0.25,1.0,0.25,0.5,0.25,0.25,0.75,0.25,0.25,0.25,0.5,0.25
DEMO_011,0.25,1.0,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,1.0,1.0,1.0,0.25
DEMO_012,1.0,0.5,0.75,1.0,0.75,0.25,0.5,0.25,0.25,0.25,0.5,0.25,1.0,0.25,0.25,0.25
DEMO_013,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.75,0.25,0.5,0.75,0.25,0.25
DEMO_014,0.75,1.0,1.0,0.75,0.25,0.25,0.25,0.25,1.0,0.25,0.75,0.25,0.25,0.75,0.75,1.0
DEMO_015,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.25,0.75,1.0,0.75,0.75,0.25,0.75,0.25,0.75
DEMO_016,0.25,1.0,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1.0,0.75,1.0
DEMO_017,1.0,1.0,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25,1.0,0.5
DEMO_018,1.0,0.25,0.25,1.0,0.25,1.0,1.0,1.0,0.25,0.5,0.5,0.25,0.25,0.25,0.75,0.75
DEMO_019,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.5,0.5,0.25,0.75,0.25,0.25,1.0
DEMO_020,0.5,0.25,0.25,1.0,1.0,0.25,0.5,1.0,0.25,0.5,0.75,0.25,0.25,0.25,0.25,0.75
DEMO_021,0.25,0.5,0.25,0.75,0.25,0.75,0.5,0.25,0.25,0.75,0.5,0.75,0.25,0.25,0.25,0.5
DEMO_022,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,1.0,0.5,1.0
DEMO_023,0.5,0.25,1.0,0.25,0.25,0.25,0.5,0.75,0.25,1.0,0.75,0.75,0.25,0.5,1.0,0.75
DEMO_024,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.25,0.25,0.25,0.75,0.25,0.25,0.75,1.0,1.0
DEMO_025,1.0,0.25,0.25,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.25
DEMO_026,0.25,1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,1.0,0.25
DEMO_027,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.5,1.0,0.75,0.75,0.25,0.25
DEMO_028,0.25,0.25,0.25,0.25,1.0,0.25,1.0,0.75,1.0,0.25,0.5,1.0,0.25,0.25,0.25,0.25
DEMO_029,0.25,1.0,0.75,0.25,1.0,0.25,0.25,0.75,0.25,0.75,0.5,1.0,0.25,0.75,1.0,0.75
DEMO_030,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.75,1.0,0.75,0.25,0.25,1.0
DEMO_031,0.75,0.75,0.25,0.75,0.25,0.25,0.25,1.0,0.25,0.75,0.75,0.25,0.5,0.25,1.0,0.25
DEMO_032,0.25,0.25,0.75,1.0,1.0,1.0,0.25,1.0,0.5,0.25,0.75,0.75,0.25,1.0,0.25,0.25
DEMO_033,0.25,0.75,0.25,0.25,0.25,0.75,1.0,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25
DEMO_034,1.0,0.25,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0.25
DEMO_035,0.75,1.0,1.0,0.25,0.25,0.5,0.25,1.0,0.25,0.25,0.5,0.25,0.75,0.25,1.0,0.25
DEMO_036,0.25,1.0,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,1.0,0.25,1.0
DEMO_037,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.25,0.25,1.0,0.75,0.25,0.25,0.25,0.5,1.0
DEMO_038,1.0,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.75,0.25,0.25,1.0,0.25,0.25,0.25,1.0
DEMO_039,0.25,0.25,1.0,0.25,1.0,0.25,1.0,0.25,0.25,0.25,0.75,0.75,1.0,1.0,0.25,0.75
DEMO_040,0.25,0.75,0.75,0.25,0.25,0.25,0.25,1.0,1.0,0.25,0.5,0.25,0.25,1.0,1.0,0.25
DEMO_041,0.5,0.25,0.25,0.25,0.75,0.25,0.25,1.0,0.75,0.75,0.75,0.75,0.25,1.0,1.0,0.25
