CD_setor,V00644,V00645,V00646,V00647,V00648,V00649,V00650,V00651,V00652,V00653,V00654,V00655,V00656,V00657,V00658,V00659,V00660,V00661,V00662,V00663,V00664,V00665,V00666,V00667,V00668,V00669,V00670,V00671,V00672,V00673,V00674,V00675,V00676,V00677,V00678,V00679,V00680,V00681,V00682,V00683,V00684,V00685,V00686,V00687,V00688,V00689,V00690,V00691,V00692,V00693,V00694,V00695,V00696,V00697,V00698,V00699,V00700,V00701,V00702,V00703,V00704,V00705,V00706,V00707,V00708,V00709,V00710,V00711,V00712,V00713,V00714,V00715,V00716,V00717,V00718,V00719,V00720,V00721,V00722,V00723,V00724,V00725,V00726,V00727,V00728,V00729,V00730,V00731,V00732,V00733,V00734,V00735,V00736,V00737,V00738,V00739,V00740,V00741,V00742,V00743,V00744,V00745,V00746,V00747,V00748,V00749,V00750,V00751,V00752,V00753,V00754,V00755,V00756,V00757,V00758,V00759,V00760,V00761,V00762,V00763,V00764,V00765,V00766,V00767,V00768,V00769,V00770,V00771,V00772,V00773,V00774,V00775,V00776,V00777,V00778,V00779,V00780,V00781,V00782,V00783,V00784,V00785,V00786,V00787,V00788,V00789,V00790,V00791,V00792,V00793,V00794,V00795,V00796,V00797,V00798,V00799,V00800,V00801,V00802,V00803,V00804,V00805,V00806,V00807,V00808,V00809,V00810,V00811,V00812,V00813,V00814,V00815,V00816,V00817,V00818,V00819,V00820,V00821,V00822,V00823,V00824,V00825,V00826,V00827,V00828,V00829,V00830,V00831,V00832,V00833,V00834,V00835,V00836,V00837,V00838,V00839,V00840,V00841,V00842,V00843,V00844,V00845,V00846,V00847,V00848,V00849,V00850,V00851,V00852,V00853,V00854,V00855,V00856,V00857,V00858,V00859,V00860,V00861,V00862,V00863,V00864,V00865,V00866,V00867,V00868,V00869,V00870,V00871,V00872,V00873,V00874,V00875,V00876,V00877,V00878,V00879,V00880,V00881,V00882,V00883,V00884,V00885,V00886,V00887,V00888,V00889,V00890,V00891,V00892,V00893,V00894,V00895,V00896,V00897,V00898,V00899,V00900,V00901,V00902,V00903,V00904,V00905,V00906,V00907,V00908,V00909,V00910,V00911,V00912,V00913,V00914,V00915,V00916,V00917,V00918,V00919,V00920,V00921,V00922,V00923,V00924,V00925,V00926,V00927,V00928,V00929,V00930,V00931,V00932,V00933,V00934,V00935,V00936,V00937,V00938,V00939,V00940,V00941,V00942,V00943,V00944,V00945,V00946,V00947,V00948,V00949,V00950,V00951,V00952,V00953,V00954,V00955,V00956,V00957,V00958,V00959,V00960,V00961,V00962,V00963,V00964,V00965,V00966,V00967,V00968,V00969,V00970,V00971,V00972,V00973,V00974,V00975,V00976,V00977,V00978,V00979,V00980,V00981,V00982,V00983,V00984,V00985,V00986,V00987,V00988,V00989,V00990,V00991,V00992,V00993,V00994,V00995,V00996,V00997,V00998,V00999,V01000,V01001,V01002,V01003,V01004,V01005
431440705130003,10,26,35,19,19,22,10,23,30,20,10,24,8,9,0,0,,0,24,,0,,0,33,,0,0,0,16,,0,,0,19,0,0,0,0,18,,0,,0,8,,0,0,,23,0,0,0,0,27,,0,,0,18,0,0,,0,10,0,0,0,0,22,,0,,0,7,0,0,,0,6,10,16,9,6,11,4,8,9,8,3,9,,4,16,19,10,13,11,6,15,21,12,7,15,6,10,26,35,19,19,21,10,23,30,20,10,24,8,9,0,0,,0,24,,0,,0,33,,0,0,0,16,,0,,0,19,0,0,0,0,17,,0,,0,8,,0,0,,23,0,0,0,0,27,,0,,0,18,0,0,,0,10,0,0,0,0,22,,0,,0,7,0,0,,0,6,10,16,9,6,10,4,8,9,8,3,9,,4,16,19,10,13,11,6,15,21,12,7,15,6,71,0,122,,62,0,32,0,46,,22,0,39,0,76,0,40,0,66,0,3,0,0,0,,0,0,0,110,,5,0,0,0,6,0,,0,57,0,,0,0,0,4,0,0,0,255,,233,,9,0,0,0,12,0,,0,100,,155,0,86,,7,0,0,0,6,0,,0,147,0,,0,0,0,6,0,0,0,,0,10,0,12,0,13,0,11,0,13,0,6,0,15,0,19,0,14,0,7,0,19,0,6,0,130,0,8,0,0,0,8,0,0,0,11,0,36,0,17,0,12,0,41,0,29,0,146,0,64,0,82,0,64,82,13,45,17,22,0,,0,,,,0,0,4,
431440705130004,21,55,30,29,29,31,20,28,36,37,31,35,26,14,5,0,,0,35,8,,11,0,17,5,0,8,0,21,4,0,4,0,20,5,0,4,0,24,3,0,4,0,12,3,0,5,0,22,,0,4,0,21,11,,3,0,29,3,0,5,0,26,3,0,,0,30,3,0,,0,21,3,0,,0,9,29,16,16,13,19,10,15,15,17,12,11,12,12,26,14,13,16,12,10,13,21,20,19,24,14,21,54,30,29,29,30,19,28,34,33,30,32,23,14,5,0,,0,35,7,,11,0,17,5,0,8,0,21,4,0,4,0,20,5,0,4,0,23,3,0,4,0,12,3,0,4,0,22,,0,4,0,21,9,,3,0,28,,0,3,0,25,3,0,,0,27,3,0,,0,19,,0,,0,9,28,16,16,13,18,10,15,14,14,11,10,12,12,26,14,13,16,12,9,13,20,19,19,22,11,105,,169,4,118,11,53,,86,,47,5,52,0,83,,71,6,66,0,17,,,0,21,0,0,0,119,,26,,,0,23,,0,0,99,7,10,,0,0,9,,0,0,392,16,284,8,53,5,,0,53,3,0,0,186,8,206,8,132,4,25,3,,0,28,,0,0,152,4,28,,,0,25,,0,0,4,0,18,,12,0,19,0,14,0,12,0,8,,15,0,21,,19,3,15,,22,3,15,,140,6,27,4,0,0,27,3,0,0,18,,39,,31,4,16,0,50,,40,5,194,13,88,6,106,7,87,106,52,51,28,23,4,13,,,4,5,8,6,0,0
431440705130005,25,38,36,44,47,55,47,31,54,51,35,61,30,20,,0,4,0,26,4,0,8,0,23,4,,8,0,34,6,0,4,0,36,5,0,6,0,41,9,0,5,0,41,3,0,3,0,27,,0,,0,44,6,0,4,0,42,5,0,4,0,29,3,0,3,0,55,4,0,,0,24,3,0,3,0,13,20,15,22,28,26,24,11,26,27,12,23,13,12,18,21,22,19,29,23,20,28,24,23,38,17,25,38,36,41,47,55,47,31,54,49,35,59,27,20,,0,4,0,26,4,0,8,0,23,4,,8,0,32,5,0,4,0,36,5,0,6,0,41,9,0,5,0,41,3,0,3,0,27,,0,,0,44,6,0,4,0,40,5,0,4,0,29,3,0,3,0,53,4,0,,0,23,,0,,0,13,20,15,20,28,26,24,11,26,26,12,22,12,12,18,21,21,19,29,23,20,28,23,23,37,15,99,0,275,3,170,7,48,0,135,,72,3,51,0,140,,98,4,69,0,9,0,,0,20,0,0,0,221,,30,,0,0,24,0,0,0,145,5,14,,0,0,11,,0,0,544,10,435,7,53,,,0,55,,0,0,255,5,289,5,205,4,26,,,0,23,0,0,0,230,3,27,,0,0,32,,0,0,,0,12,0,12,0,15,0,20,0,22,0,28,0,15,0,29,0,26,0,26,0,34,0,15,,207,0,22,,,0,25,,0,0,11,0,60,0,38,0,14,0,69,0,63,,255,,109,0,146,,109,146,72,63,37,44,9,17,4,,4,5,14,12,4,0
431440705130006,28,25,35,24,36,34,30,24,44,50,39,57,22,22,,0,5,0,20,3,0,,0,31,3,0,,0,15,4,0,5,0,25,5,0,6,0,25,4,0,5,0,23,5,0,,0,19,5,0,0,0,31,9,0,4,0,38,7,0,5,0,28,7,0,4,0,48,8,0,,0,18,3,0,,0,12,12,19,11,16,25,13,11,17,22,19,20,5,16,13,16,13,20,9,17,13,27,28,20,37,17,28,25,35,23,36,34,30,23,41,49,38,57,17,22,,0,5,0,20,3,0,,0,31,3,0,,0,15,4,0,4,0,25,5,0,6,0,25,4,0,5,0,23,5,0,,0,19,4,0,0,0,29,8,0,4,0,38,6,0,5,0,28,6,0,4,0,48,8,0,,0,14,3,0,0,0,12,12,19,11,16,25,13,11,16,22,19,20,5,16,13,16,12,20,9,17,12,25,27,19,37,12,88,0,187,5,161,7,43,0,92,,66,0,45,0,95,4,95,7,73,0,7,0,0,0,8,0,0,0,136,,30,,0,0,21,,0,0,128,4,23,,0,0,10,,0,0,436,12,337,6,60,4,0,0,39,,0,0,201,,235,11,150,,28,0,0,0,23,0,0,0,187,5,32,4,0,0,16,,0,0,7,0,8,0,13,0,7,,11,0,20,0,10,0,11,,22,,31,,30,0,38,0,5,4,166,5,30,,0,0,17,,0,0,7,0,39,,39,0,21,0,42,,65,5,213,8,85,,128,7,85,128,45,46,36,21,10,15,5,3,6,3,13,19,,0
431440705130007,51,51,40,44,54,57,56,61,53,39,38,57,28,33,9,0,9,0,39,4,0,8,0,32,3,0,5,0,30,9,0,5,0,38,4,0,12,0,42,9,0,6,0,44,6,0,6,0,53,4,0,4,0,44,5,0,4,0,29,4,0,6,0,34,,0,3,0,47,10,0,0,0,23,,0,3,0,31,21,17,15,25,25,26,27,30,17,14,24,9,20,30,23,29,29,32,30,34,23,22,24,33,19,51,51,40,44,54,56,56,60,50,38,38,55,22,33,9,0,9,0,39,4,0,8,0,32,3,0,5,0,30,9,0,5,0,38,4,0,12,0,41,9,0,6,0,44,6,0,6,0,52,4,0,4,0,42,5,0,3,0,29,3,0,6,0,34,,0,3,0,45,10,0,0,0,18,,0,,0,31,21,17,15,25,25,26,26,28,17,14,24,8,20,30,23,29,29,31,30,34,22,21,24,31,14,142,0,320,5,153,9,69,0,145,3,63,,73,0,175,,90,8,104,0,16,0,0,0,22,0,0,0,247,4,37,0,0,0,36,,0,0,126,7,16,,0,0,11,,0,0,615,14,477,11,69,,0,0,69,,0,0,277,4,338,10,212,3,31,0,0,0,34,,0,0,265,8,38,,0,0,35,,0,0,,0,6,0,11,0,21,0,22,0,28,,36,0,33,,29,0,21,0,26,0,34,,17,5,222,7,32,0,0,0,31,,0,0,8,0,76,,39,,10,0,93,,59,5,285,8,123,,162,6,123,162,70,83,57,73,4,11,8,,3,4,10,3,,
431440705130008,29,42,30,40,35,38,52,41,37,46,41,51,35,21,3,0,5,0,33,5,0,4,0,25,,0,3,0,32,3,0,5,0,32,,0,,0,32,3,0,3,0,44,4,0,4,0,36,4,0,,0,33,3,0,,0,41,,0,3,0,37,,0,3,0,39,10,0,,0,31,4,0,0,0,12,22,17,18,18,15,25,23,17,22,11,23,11,17,20,13,22,17,23,27,18,20,24,30,28,24,29,42,30,39,35,37,52,41,35,46,41,51,30,21,3,0,5,0,33,5,0,4,0,25,,0,3,0,31,3,0,5,0,32,,0,,0,31,3,0,3,0,44,4,0,4,0,36,4,0,,0,31,3,0,,0,41,,0,3,0,37,,0,3,0,39,10,0,,0,26,4,0,0,0,12,22,17,17,18,14,25,23,16,22,11,23,10,17,20,13,22,17,23,27,18,19,24,30,28,20,101,0,239,4,168,5,51,0,113,3,66,,50,0,126,,102,4,79,0,10,0,0,0,12,0,0,0,205,4,18,0,0,0,16,0,0,0,143,5,17,0,0,0,8,0,0,0,508,9,427,9,45,0,0,0,36,0,0,0,230,4,278,5,192,4,19,0,0,0,19,0,0,0,235,5,26,0,0,0,17,0,0,0,,0,5,0,6,0,14,0,17,0,20,0,31,0,23,0,19,,30,0,26,0,36,0,21,,212,3,21,0,0,0,16,0,0,0,7,0,55,,49,,5,0,69,0,64,,249,3,111,,138,,111,138,47,77,46,48,,7,5,,9,0,8,6,,0
431440705130009,29,30,34,25,38,35,35,38,27,36,31,45,10,19,6,0,4,0,18,10,0,,0,29,4,0,,0,20,4,0,,0,27,7,0,4,0,29,3,0,3,0,31,,0,,0,28,7,0,3,0,23,3,0,,0,29,4,0,3,0,25,,0,4,0,39,3,0,3,0,8,0,0,,0,13,12,17,10,18,18,22,20,11,15,15,18,3,16,18,17,15,20,17,13,18,16,21,16,27,7,29,30,34,24,38,35,35,37,26,34,30,41,9,19,6,0,4,0,18,10,0,,0,29,4,0,,0,20,3,0,,0,27,7,0,4,0,29,3,0,3,0,31,,0,,0,28,7,0,,0,22,3,0,,0,28,4,0,,0,24,,0,4,0,35,3,0,3,0,7,0,0,,0,13,12,17,10,18,18,22,20,10,14,15,17,,16,18,17,14,20,17,13,17,16,20,15,24,7,93,0,195,3,114,8,42,0,98,,48,3,51,0,97,,66,5,66,0,20,0,0,0,7,0,0,0,157,,25,,0,0,13,,0,0,94,7,9,0,0,0,11,,0,0,402,11,317,8,54,,0,0,31,,0,0,188,4,214,7,146,4,24,0,0,0,18,0,0,0,171,4,30,,0,0,13,,0,0,0,0,6,0,7,0,10,,17,0,17,0,15,0,22,0,18,,21,,17,0,33,4,4,0,149,6,21,,0,0,17,0,0,0,,0,45,,33,,11,0,54,,42,3,187,7,80,3,107,4,80,107,47,47,39,37,0,6,3,5,4,5,13,6,0,
431440705130010,40,46,34,36,47,51,38,62,46,48,51,67,23,34,6,0,0,0,32,7,0,7,0,23,5,0,6,0,28,7,0,,0,35,6,0,6,0,42,4,0,5,0,32,5,0,,0,49,6,0,7,0,31,9,0,6,0,36,8,0,4,0,42,5,0,4,0,56,7,0,4,0,18,3,0,,0,23,27,16,22,26,21,15,32,24,21,20,33,3,17,19,18,14,21,30,23,30,22,27,31,34,20,40,46,34,35,47,51,38,61,46,45,48,63,20,34,6,0,0,0,32,7,0,7,0,23,5,0,6,0,28,6,0,,0,35,6,0,6,0,42,4,0,5,0,32,5,0,,0,48,6,0,7,0,31,9,0,6,0,33,8,0,4,0,39,5,0,4,0,52,7,0,4,0,16,3,0,,0,23,27,16,21,26,21,15,31,24,19,18,31,3,17,19,18,14,21,30,23,30,22,26,30,32,17,120,0,278,,176,13,66,0,138,,71,6,54,0,140,0,105,7,89,0,18,0,0,0,13,0,0,0,216,,36,,0,0,26,0,0,0,140,12,23,0,0,0,13,,0,0,574,15,445,13,77,,0,0,52,,0,0,275,8,299,7,216,7,33,,0,0,26,0,0,0,229,6,44,0,0,0,26,,0,0,,0,9,0,13,0,17,0,23,0,32,0,19,0,23,0,23,0,23,,28,,35,,8,0,199,5,32,0,0,0,24,0,0,0,12,0,58,0,34,3,12,0,79,0,60,,255,5,104,3,151,,104,151,78,57,56,47,9,26,7,5,13,4,7,9,0,0
431440705130011,30,36,29,29,39,32,34,42,66,42,30,44,30,26,3,0,,0,32,3,0,,0,22,5,0,,0,26,,0,,0,30,8,0,,0,27,,0,3,0,33,,0,0,0,36,3,0,3,0,57,6,0,3,0,37,3,0,,0,29,0,0,,0,39,3,0,,0,30,0,0,0,0,18,17,11,14,22,12,18,21,28,21,14,14,9,12,19,18,15,17,20,16,21,38,21,16,30,21,30,36,29,29,39,32,34,42,64,41,30,42,25,26,3,0,,0,32,3,0,,0,22,5,0,,0,26,,0,,0,30,8,0,,0,27,,0,3,0,33,,0,0,0,36,3,0,3,0,55,6,0,3,0,36,3,0,,0,29,0,0,,0,37,3,0,,0,25,0,0,0,0,18,17,11,14,22,12,18,21,28,21,14,14,9,12,19,18,15,17,20,16,21,36,20,16,28,16,95,0,240,,138,8,46,0,115,0,58,0,49,0,125,,80,8,80,0,11,0,0,0,4,0,0,0,207,,21,0,0,0,12,0,0,0,127,8,6,0,0,0,5,0,0,0,473,10,414,10,38,0,0,0,21,0,0,0,219,0,254,10,192,0,19,0,0,0,8,0,0,0,222,10,19,0,0,0,13,0,0,0,0,0,,0,12,0,10,0,13,0,17,0,18,0,20,0,32,0,28,0,19,0,29,,14,3,186,4,17,0,0,0,11,0,0,0,5,0,49,0,32,0,9,0,61,0,58,4,214,4,86,0,128,4,86,128,64,52,42,45,11,17,4,,8,5,3,5,,0
431440705130012,70,93,75,81,85,104,84,86,79,62,40,66,22,55,9,0,6,0,76,8,0,9,0,58,7,0,10,0,65,5,0,11,0,69,13,0,3,0,83,12,0,9,0,66,10,0,8,0,73,8,0,5,0,62,10,0,7,0,57,3,0,,0,32,6,0,,0,53,6,0,7,0,18,,0,,0,38,49,38,41,42,44,38,43,48,29,18,27,12,32,44,37,40,43,60,46,43,31,33,22,39,10,70,93,74,81,85,104,83,85,78,60,39,59,18,55,9,0,6,0,76,8,0,9,0,57,7,0,10,0,65,5,0,11,0,69,13,0,3,0,83,12,0,9,0,66,9,0,8,0,72,8,0,5,0,61,10,0,7,0,55,3,0,,0,32,5,0,,0,50,4,0,5,0,15,,0,,0,38,49,37,41,42,44,38,42,48,28,17,24,10,32,44,37,40,43,60,45,43,30,32,22,35,8,237,,516,3,176,14,124,,255,,79,7,113,0,261,,97,7,188,,24,0,0,0,25,0,0,0,416,,57,,0,0,43,0,0,0,152,8,14,3,0,0,10,3,0,0,929,18,756,11,95,4,0,0,78,3,0,0,458,9,471,9,371,7,44,,0,0,43,,0,0,385,4,51,3,0,0,35,,0,0,12,0,19,0,31,0,36,0,44,0,50,0,35,0,41,0,42,,31,,22,,32,3,11,0,331,3,47,3,0,0,28,0,0,0,29,0,98,0,43,,33,0,150,,53,3,406,6,170,,236,4,170,236,143,113,84,59,33,41,3,5,13,4,11,11,,
