CD_SETOR,SITUACAO,CD_SIT,CD_TIPO,AREA_KM2,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,CD_SUBDIST,NM_SUBDIST,CD_BAIRRO,NM_BAIRRO,CD_NU,NM_NU,CD_FCU,NM_FCU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,v0001,v0002,v0003,v0004,v0005,v0006,v0007
431440705130003,Urbana,1,0,"0,0131573",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,294,192,192,0,"2,0","0,0000",146
431440705130004,Urbana,1,0,"0,1407963",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,496,255,255,0,"2,4","0,0242",207
431440705130005,Urbana,1,0,"0,1352551",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,647,294,294,0,"2,5","0,0389",257
431440705130006,Urbana,1,0,"0,0923603",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,512,263,263,0,"2,3","0,0495",222
431440705130007,Urbana,1,0,"0,1015229",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,753,336,336,0,"2,6","0,0239",293
431440705130008,Urbana,1,0,"0,1273214",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,602,302,302,0,"2,4","0,0198",252
431440705130009,Urbana,1,0,"0,0955411",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,486,242,242,0,"2,5","0,0000",194
431440705130010,Urbana,1,0,"0,1189536",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,682,317,317,0,"2,6","0,0308",260
431440705130011,Urbana,1,0,"0,1294140",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,549,271,271,0,"2,5","0,0320",219
431440705130012,Urbana,1,0,"0,1825244",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,1139,454,454,0,"2,8","0,0363",413
431440705130014,Urbana,1,0,"0,1113501",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,778,370,370,0,"2,6","0,0623",305
431440705130015,Urbana,1,0,"0,1241024",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,663,286,286,0,"2,6","0,0156",257
431440705130016,Urbana,1,0,"0,1167771",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,501,229,229,0,"2,4","0,0524",210
431440705130017,Urbana,1,0,"0,1248364",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,639,298,298,0,"2,5","0,0197",254
431440705130018,Urbana,1,0,"0,1296281",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,820,384,384,0,"2,5","0,0180",334
431440705130019,Urbana,1,0,"0,2882717",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,156,70,70,0,"2,6","0,0000",59
431440705130020,Urbana,1,0,"0,1577295",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,908,386,386,0,"2,8","0,0091",328
431440705130021,Urbana,2,0,"1,0040531",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,1060,521,521,0,"2,5","0,0216",416
431440705130022,Urbana,1,1,"0,2911924",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,43144070016,Leito da Via Férrea - Vila Peres 22 de Maio,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,1620,644,644,0,"2,8","0,0326",583
431440705130023,Urbana,1,0,"0,0775800",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,579,334,334,0,"2,3","0,0402",249
431440705130024,Urbana,1,0,"0,0338006",4,Sul,43,Rio Grande do Sul,4314407,Pelotas,431440705,Pelotas,43144070513,Três Vendas,.,,.,,.,,.,,4302,Pelotas,430009,Pelotas,4314407,Pelotas/RS,477,280,280,0,"2,2","0,0591",220
