CD_setor,V01317,V01318,V01319,V01320,V01321,V01322,V01323,V01324,V01325,V01326,V01327,V01328,V01329,V01330,V01331,V01332,V01333,V01334,V01335,V01336,V01337,V01338,V01339,V01340,V01341,V01342,V01343,V01344,V01345,V01346,V01347,V01348,V01349,V01350,V01351,V01352,V01353,V01354,V01355,V01356,V01357,V01358,V01359,V01360,V01361,V01362,V01363,V01364,V01365,V01366,V01367,V01368,V01369,V01370,V01371,V01372,V01373,V01374,V01375,V01376,V01377,V01378,V01379,V01380,V01381,V01382,V01383,V01384,V01385,V01386,V01387,V01388,V01389,V01390,V01391,V01392,V01393,V01394,V01395,V01396,V01397,V01398,V01399,V01400,V01401,V01402,V01403,V01404,V01405,V01406,V01407,V01408,V01409,V01410,V01411
431440705130003,269,10,0,14,,103,7,0,6,,166,3,0,8,0,130,8,0,8,0,53,77,6,,0,0,5,3,0,0,,8,31,47,43,0,,3,3,,0,0,0,0,0,0,,,3,,0,0,0,0,0,35,,0,,0,66,3,0,,0,111,5,0,6,,57,,0,4,0,10,0,0,0,0,93,7,0,6,,12,,0,,0,154,,0,6,0
431440705130004,347,69,,78,0,169,32,,37,0,178,37,,41,0,146,31,0,30,0,64,82,13,18,0,0,17,13,0,0,,14,26,39,66,0,3,10,12,6,0,0,0,0,0,0,5,9,8,8,0,0,0,0,0,55,11,0,22,0,66,18,,21,0,120,28,,24,0,106,12,0,11,0,24,3,0,5,0,145,29,,32,0,17,5,0,10,0,161,32,,31,0
431440705130005,516,62,,68,0,248,32,,29,0,268,30,0,39,0,207,23,,26,0,90,117,12,11,,0,6,20,0,0,,6,37,78,85,0,,6,7,8,0,0,,0,0,0,4,3,9,10,0,0,0,0,0,74,7,0,12,0,69,9,,20,0,223,31,0,24,0,150,15,0,12,0,25,3,0,5,0,223,29,,24,0,21,,0,4,0,247,29,0,35,0
431440705130006,392,72,0,48,0,176,33,0,24,0,216,39,0,24,0,172,32,0,18,0,65,107,13,19,0,0,9,9,0,0,4,6,24,51,87,0,3,4,10,15,0,0,0,0,0,0,3,4,4,7,0,0,0,0,0,49,8,0,7,0,73,7,0,8,0,138,32,0,22,0,132,25,0,11,0,19,3,0,,0,157,30,0,23,0,16,,0,4,0,200,38,0,20,0
431440705130007,576,82,0,95,0,268,39,0,48,0,308,43,0,47,0,229,32,0,32,0,101,128,12,20,0,0,12,20,0,0,0,4,36,105,84,,,8,11,11,0,0,0,0,0,0,,10,12,9,0,0,0,0,0,88,12,0,24,0,104,16,0,22,0,251,37,0,37,0,133,17,0,12,0,33,6,0,8,0,235,33,0,40,0,24,,0,5,0,284,41,0,42,0
431440705130008,500,52,0,50,0,234,23,0,27,0,266,29,0,23,0,215,21,0,16,0,98,117,7,14,0,0,8,8,0,0,0,4,33,79,99,0,,0,10,10,0,0,0,0,0,0,,4,5,6,0,0,0,0,0,64,7,0,14,0,79,10,0,12,0,209,18,0,16,0,148,17,0,8,0,24,3,0,7,0,210,20,0,20,0,17,,0,4,0,249,28,0,19,0
431440705130009,383,61,0,42,0,180,29,0,21,0,203,32,0,21,0,155,22,0,17,0,67,88,5,17,0,0,11,6,0,0,0,4,25,59,67,0,,6,10,4,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,58,6,0,9,0,66,20,0,7,0,158,26,0,14,0,101,9,0,12,0,15,,0,,0,165,27,0,19,0,16,0,0,4,0,187,32,0,17,0
431440705130010,528,87,0,67,0,255,39,0,33,0,273,48,0,34,0,204,32,0,24,0,86,118,12,20,0,0,9,15,0,0,0,10,41,75,78,0,,6,12,13,0,0,0,0,0,0,0,6,10,8,0,0,0,0,0,70,9,0,14,0,89,18,0,13,0,217,37,0,26,0,152,23,0,14,0,13,5,0,6,0,242,34,0,27,0,29,3,0,,0,244,45,0,32,0
431440705130011,475,48,0,26,0,214,26,0,12,0,261,22,0,14,0,191,17,0,11,0,77,114,7,10,0,0,3,8,0,0,,,27,75,86,0,0,6,7,4,0,0,0,0,0,0,0,,5,4,0,0,0,0,0,51,10,0,5,0,80,11,0,4,0,209,21,0,12,0,135,6,0,5,0,14,4,0,3,0,200,22,0,9,0,21,,0,,0,240,20,0,13,0
431440705130012,917,121,0,101,0,447,57,0,56,0,470,64,0,45,0,335,50,0,28,0,137,198,21,29,0,0,14,14,0,0,5,21,90,134,85,,4,14,19,11,0,0,0,0,0,0,0,7,16,5,0,0,0,0,0,150,22,0,20,0,189,24,0,25,0,418,58,0,43,0,160,17,0,13,0,42,7,0,5,0,405,50,0,51,0,52,6,0,6,0,418,58,0,39,0
431440705130014,661,58,0,59,0,309,34,0,31,0,352,24,0,28,0,261,22,0,22,0,111,150,13,9,0,0,9,13,0,0,0,7,45,97,112,0,,6,5,10,0,0,0,0,0,0,,3,8,10,0,0,0,0,0,99,4,0,16,0,99,12,0,7,0,279,27,0,20,0,184,15,0,16,0,32,,0,7,0,277,33,0,24,0,33,0,0,,0,319,24,0,26,0
431440705130015,517,90,0,56,0,242,42,0,28,0,275,48,0,28,0,202,33,0,22,0,74,128,12,21,0,0,8,14,0,0,3,9,45,79,66,0,0,6,19,8,0,0,0,0,0,0,,7,8,6,0,0,0,0,0,83,16,0,14,0,103,15,0,11,0,207,42,0,22,0,124,17,0,9,0,30,8,0,6,0,212,34,0,22,0,31,5,0,,0,244,43,0,26,0
431440705130016,431,42,0,28,0,205,21,0,11,0,226,21,0,17,0,177,23,0,10,0,102,75,13,10,0,0,,8,0,0,0,7,31,63,76,0,,5,11,5,0,0,0,0,0,0,0,4,5,,0,0,0,0,0,56,4,0,,0,70,9,0,10,0,176,20,0,14,0,129,9,0,,0,16,,0,0,0,189,19,0,11,0,20,,0,,0,206,20,0,15,0
431440705130017,525,65,,46,,248,26,,21,,277,39,0,25,,212,26,0,16,0,116,96,8,18,0,0,8,8,0,0,0,6,37,94,75,0,0,3,14,9,0,0,0,0,0,0,0,7,7,,0,0,0,0,0,81,5,0,14,,87,20,0,11,0,233,26,0,19,,124,14,,,0,31,,0,3,0,217,25,,18,,24,,0,6,0,253,37,0,19,
431440705130018,676,75,0,69,0,307,35,0,38,0,369,40,0,31,0,275,33,0,26,0,157,118,17,16,0,0,12,14,0,0,,7,45,115,107,0,,7,8,16,0,0,0,0,0,0,,5,12,8,0,0,0,0,0,94,10,0,15,0,128,17,0,14,0,286,26,0,27,0,168,22,0,13,0,35,6,0,6,0,272,29,0,32,0,30,3,0,,0,339,37,0,29,0
