CD_setor,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00008,V00009,V00010,V00011,V00012,V00013,V00014,V00015,V00016,V00017,V00018,V00019,V00020,V00021,V00022,V00023,V00024,V00025,V00026,V00027,V00028,V00029,V00030,V00031,V00032,V00033,V00034,V00035,V00036,V00037,V00038,V00039,V00040,V00041,V00042,V00043,V00044,V00045,V00046,V00047,V00048,V00049,V00050,V00051,V00052,V00053,V00054,V00055,V00056,V00057,V00058,V00059,V00060,V00061,V00062,V00063,V00064,V00065,V00066,V00067,V00068,V00069,V00070,V00071,V00072,V00073,V00074,V00075,V00076,V00077,V00078,V00079,V00080,V00081,V00082,V00083,V00084,V00085,V00086,V00087,V00088,V00089
431440705130003,146,0,0,146,294,0,0,25,0,0,117,0,0,177,0,0,51,55,29,9,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,25,117,177,51,55,29,9,X,0,0,0,0,0,X,0,292,0,0,25
431440705130004,206,X,0,206,495,X,0,64,0,0,238,X,0,257,0,0,52,72,49,19,9,4,X,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,495,64,238,257,52,72,49,19,9,4,X,0,0,0,491,0,4,64,0,0
431440705130005,257,0,0,257,647,0,0,59,0,0,310,0,0,337,0,0,54,90,64,34,10,3,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,59,310,337,54,90,64,34,10,3,0,X,X,0,633,0,14,56,0,3
431440705130006,222,0,0,222,512,0,0,44,0,0,233,0,0,279,0,0,65,74,47,26,7,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,44,233,279,65,74,47,26,7,X,X,0,0,0,496,0,16,44,0,0
431440705130007,293,0,0,293,753,0,0,78,0,0,355,0,0,398,0,0,72,94,59,44,13,7,X,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,78,355,398,72,94,59,44,13,7,X,0,X,X,739,0,14,77,0,X
431440705130008,252,0,0,252,602,0,0,56,0,0,284,0,0,318,0,0,62,91,57,28,10,3,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,56,284,318,62,91,57,28,10,3,X,0,0,0,602,0,0,56,0,0
431440705130009,194,0,0,194,486,0,0,39,0,0,230,0,0,256,0,0,46,65,43,30,4,3,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,39,230,256,46,65,43,30,4,3,X,X,0,0,482,0,4,39,0,0
431440705130010,260,0,0,260,682,0,0,58,0,0,327,0,0,355,0,0,47,93,58,43,13,4,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,X,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,58,327,355,47,93,58,43,13,4,X,0,0,0,650,3,29,55,0,3
431440705130011,219,0,0,219,549,0,0,45,0,0,252,0,0,297,0,0,51,74,54,29,3,3,3,X,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,45,252,297,51,74,54,29,3,3,3,X,0,X,544,X,3,45,0,0
431440705130012,413,0,0,413,1139,0,0,118,0,0,560,0,0,579,0,0,66,117,127,72,18,11,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,118,560,579,66,117,127,72,18,11,X,0,0,0,1099,0,40,109,0,9
