CD_setor,V00090,V00091,V00092,V00093,V00094,V00095,V00096,V00097,V00098,V00099,V00100,V00101,V00102,V00103,V00104,V00105,V00106,V00107,V00108,V00109,V00110,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00143,V00144,V00145,V00146,V00147,V00148,V00149,V00150,V00151,V00152,V00153,V00154,V00155,V00156,V00157,V00158,V00159,V00160,V00161,V00162,V00163,V00164,V00165,V00166,V00167,V00168,V00169,V00170,V00171,V00172,V00173,V00174,V00175,V00176,V00177,V00178,V00179,V00180,V00181,V00182,V00183,V00184,V00185,V00186,V00187,V00188,V00189,V00190,V00191,V00192,V00193,V00194,V00195,V00196,V00197,V00198,V00199,V00200,V00201,V00202,V00203,V00204,V00205,V00206,V00207,V00208,V00209,V00210,V00211,V00212,V00213,V00214,V00215,V00216,V00217,V00218,V00219,V00220,V00221,V00222,V00223,V00224,V00225,V00226,V00227,V00228,V00229,V00230,V00231,V00232,V00233,V00234,V00235,V00236,V00237,V00238,V00239,V00240,V00241,V00242,V00243,V00244,V00245,V00246,V00247,V00248,V00249,V00250,V00251,V00252,V00253,V00254,V00255,V00256,V00257,V00258,V00259,V00260,V00261,V00262,V00263,V00264,V00265,V00266,V00267,V00268,V00269,V00270,V00271,V00272,V00273,V00274,V00275,V00276,V00277,V00278,V00279,V00280,V00281,V00282,V00283,V00284,V00285,V00286,V00287,V00288,V00289,V00290,V00291,V00292,V00293,V00294,V00295,V00296,V00297,V00298,V00299,V00300,V00301,V00302,V00303,V00304,V00305,V00306,V00307,V00308,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00317,V00318,V00319,V00320,V00321,V00322,V00323,V00324,V00325,V00326,V00327,V00328,V00329,V00330,V00331,V00332,V00333,V00334,V00335,V00336,V00337,V00338,V00339,V00340,V00341,V00342,V00343,V00344,V00345,V00346,V00347,V00348,V00349,V00350,V00351,V00352,V00353,V00354,V00355,V00356,V00357,V00358,V00359,V00360,V00361,V00362,V00363,V00364,V00365,V00366,V00367,V00368,V00369,V00370,V00371,V00372,V00373,V00374,V00375,V00376,V00377,V00378,V00379,V00380,V00381,V00382,V00383,V00384,V00385,V00386,V00387,V00388,V00389,V00390,V00391,V00392,V00393,V00394,V00395,V00396,V00397,V00398,V00399,V00400,V00401,V00402,V00403,V00404,V00405,V00406,V00407,V00408,V00409,V00410,V00411,V00412,V00413,V00414,V00415,V00416,V00417,V00418,V00419,V00420,V00421,V00422,V00423,V00424,V00425,V00426,V00427,V00428,V00429,V00430,V00431,V00432,V00433,V00434,V00435,V00436,V00437,V00438,V00439,V00440,V00441,V00442,V00443,V00444,V00445,V00446,V00447,V00448,V00449,V00450,V00451,V00452,V00453,V00454,V00455,V00456,V00457,V00458,V00459,V00460,V00461,V00462,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00471,V00472,V00473,V00474,V00475,V00476,V00477,V00478,V00479,V00480,V00481,V00482,V00483,V00484,V00485,V00486,V00487,V00488,V00489,V00490,V00491,V00492,V00493,V00494,V00495
431440705130003,,0,0,0,0,0,0,0,0,0,129,8,0,8,0,0,,0,0,64,81,146,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,130,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,,0,0,0,0,0,145,0,0,130,8,0,8,0,0,0,0,0,0,0,0,0,0,0,64,82,0,0,0,0,146,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,130,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,82,0,0,0,0,0,0,0,0,0,0,0,0,145,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,,0,0,0,0,0,0,129,8,0,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,82,,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,130,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,146,0
431440705130004,145,31,0,29,0,0,0,0,0,0,0,0,0,,0,92,113,0,0,,0,202,0,0,0,0,,0,3,201,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,143,30,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,,0,92,110,0,0,0,0,0,0,0,0,0,,0,0,,,204,,0,203,,0,0,0,0,,0,0,144,30,0,30,0,,,0,0,0,0,0,0,0,0,91,113,,0,0,0,150,40,5,,7,,,150,39,5,,7,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,101,25,0,24,0,33,5,0,,0,5,0,0,0,0,,0,0,0,0,3,0,0,4,0,0,,0,0,0,,0,0,0,0,67,83,16,24,,3,,,5,,,0,,0,26,43,74,,60,,0,,25,43,74,,60,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,19,3,0,4,0,35,7,0,,0,58,6,0,10,0,0,,0,0,0,31,14,0,15,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,12,14,16,27,32,42,0,,32,28,0,,0,0,,0,165,41,0,0,0,0,164,41,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,127,20,0,18,0,18,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,91,19,22,0,0,0,0,0,0,0,0,,3,,3,0,0,0,0,,0,0,0,0,,,0,,0,0,,,,150,40,5,,,0,0,0,0,197,9
431440705130005,202,21,,25,0,0,0,0,0,0,5,,0,,0,104,145,0,0,5,3,256,,0,0,0,0,0,0,248,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,206,23,,26,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,148,,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,249,0,0,0,0,0,8,0,0,207,23,,26,0,0,0,0,0,0,0,0,0,0,0,109,148,0,0,0,0,155,69,25,8,0,0,0,149,68,24,8,0,0,0,0,0,0,0,0,0,0,6,,,0,0,0,0,119,17,,18,0,57,5,0,7,0,23,,0,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,89,26,43,14,11,3,5,0,0,0,0,0,0,235,14,7,,0,0,0,0,228,14,6,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,0,0,0,0,0,188,21,,25,0,12,,0,,0,6,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,136,7,7,,5,,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,207,23,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,148,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,155,69,25,6,,0,0,0,0,257,0
431440705130006,166,31,0,16,0,0,0,0,0,0,6,,0,,0,85,128,0,0,,7,222,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,172,32,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,,0,212,,0,0,0,0,9,0,0,171,32,0,18,0,,0,0,0,0,0,0,0,0,0,86,135,,0,0,0,154,56,10,,0,0,0,146,55,10,,0,0,0,0,0,0,0,0,0,0,8,,0,0,0,0,0,113,25,0,16,0,47,7,0,,0,10,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,91,24,32,0,10,0,,0,0,0,0,0,0,205,7,8,0,,0,0,0,196,7,8,0,,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,157,30,0,18,0,6,,0,0,0,7,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,124,,5,4,4,0,0,0,,0,0,0,0,0,0,221,,0,0,0,0,212,,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,171,32,0,18,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,56,10,,,0,0,0,0,222,0
431440705130007,225,31,0,31,0,0,0,0,0,0,4,,0,,0,121,166,0,0,4,,291,0,0,0,0,,0,0,285,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,227,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,167,0,0,0,0,0,0,0,0,,,0,0,0,0,293,0,0,287,0,0,0,0,0,6,0,0,229,32,0,32,0,0,0,0,0,0,0,0,0,0,0,125,168,0,0,0,0,236,53,3,,0,0,0,232,51,3,,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,0,183,27,0,26,0,42,5,0,6,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,140,27,26,,,,0,0,0,0,0,0,0,56,234,3,0,0,0,0,0,55,229,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,44,7,0,5,0,183,25,0,26,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,100,134,,,0,0,0,0,0,0,0,0,0,0,290,3,0,0,0,0,284,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,227,31,0,32,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,165,0,3,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,0,236,53,3,,0,0,0,0,0,293,0
431440705130008,215,21,0,16,0,0,0,0,0,0,0,0,0,0,0,113,139,0,0,0,0,251,0,0,0,0,0,0,,251,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,113,138,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,,,250,,,0,0,0,0,0,0,215,21,0,14,0,0,0,0,,0,0,0,0,,0,113,137,0,,0,,165,68,16,3,0,0,0,165,68,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,16,0,12,0,60,4,0,4,0,15,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,86,25,43,8,8,,,0,0,0,0,0,0,236,16,0,0,0,0,0,0,236,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,17,0,14,0,10,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,130,7,9,0,0,0,0,0,0,0,0,0,0,0,0,250,,0,0,0,0,250,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,21,0,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,137,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,165,68,16,3,0,0,0,0,0,252,0
431440705130009,152,22,0,16,0,0,0,0,0,0,3,0,0,,0,79,111,0,0,4,0,194,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,155,22,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,190,0,0,0,0,0,4,0,0,155,22,0,17,0,0,0,0,0,0,0,0,0,0,0,83,111,0,0,0,0,134,44,12,4,0,0,0,130,44,12,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,101,21,0,12,0,38,,0,5,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,78,21,23,6,6,0,4,0,0,0,0,0,0,182,12,0,0,0,0,0,0,178,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,144,22,0,16,0,11,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,103,4,8,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,155,22,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,44,12,4,0,0,0,0,0,194,0
431440705130010,191,31,0,24,0,,0,0,0,0,12,,0,0,0,101,145,0,,6,7,259,0,0,0,0,,0,0,245,0,0,0,0,,0,0,,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,204,32,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,106,153,0,0,0,0,0,0,0,0,,0,0,0,0,0,259,0,,245,0,,,0,0,13,0,0,204,32,0,23,0,0,0,0,0,0,0,0,0,,0,106,153,0,0,,0,164,80,16,0,0,0,0,156,74,16,0,0,0,0,,0,0,0,0,0,0,7,6,0,0,0,0,0,124,24,0,16,0,66,7,0,7,0,14,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,104,39,41,8,8,0,0,0,0,0,0,0,0,259,0,0,,0,0,0,0,245,0,0,,0,0,0,0,,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,204,32,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,153,0,0,0,0,,0,0,0,0,0,0,0,0,0,254,6,0,0,0,0,245,,0,0,0,0,,0,0,0,0,0,8,5,0,0,0,0,199,31,0,24,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,151,4,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,164,80,16,0,0,0,0,0,0,260,0
431440705130011,189,17,0,11,0,,0,0,0,0,,0,0,0,0,86,131,0,,,0,219,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,191,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,,0,216,,0,,0,0,,0,0,191,16,0,11,0,0,,0,0,0,0,0,0,0,0,87,131,0,,0,0,138,66,13,,,0,0,137,66,12,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,120,9,0,9,0,59,6,0,,0,11,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,56,82,23,43,7,6,,0,0,,0,0,0,0,215,4,0,0,0,0,0,0,213,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,187,17,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,130,,,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,217,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,191,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,66,13,,0,0,0,0,0,218,
431440705130012,321,49,0,27,0,0,0,0,0,0,14,,0,,0,169,228,0,0,3,13,412,0,0,0,0,0,0,,396,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,335,49,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,171,241,0,0,0,0,0,0,0,0,0,0,0,0,,0,412,0,,396,0,,0,0,0,16,0,0,335,49,0,28,0,0,0,0,0,0,0,,0,0,0,171,241,0,0,,0,283,112,13,3,,,0,267,112,13,3,,,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,227,37,0,19,0,93,10,0,9,0,12,,0,0,0,3,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,118,165,44,68,8,5,,,0,,,0,0,0,279,133,0,0,0,0,,0,264,132,0,0,0,0,,0,0,0,0,0,0,0,0,0,15,,0,0,0,0,0,0,222,39,0,18,0,113,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,104,175,67,66,0,0,0,0,0,0,0,0,,0,0,0,413,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,335,50,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,241,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,283,112,13,3,0,0,0,0,0,411,
