percentil,ivs_sms,ivs_demo
1,0.25,0.3375
2,0.2578,0.3412
3,0.27,0.3488
4,0.2756,0.351
5,0.3085,0.3637
6,0.3134,0.3688
7,0.3273,0.3833
8,0.3312,0.388
9,0.34,0.3915
10,0.34,0.3938
11,0.3629,0.3963
12,0.3768,0.401
13,0.41,0.4032
14,0.41,0.4085
15,0.4185,0.4112
16,0.4324,0.4173
17,0.4463,0.4235
18,0.45,0.4253
19,0.45,0.432
20,0.458,0.4375
21,0.4619,0.4405
22,0.4758,0.4433
23,0.48,0.4467
24,0.4858,0.4495
25,0.499,0.45
26,0.5,0.4522
27,0.5,0.4557
28,0.5092,0.4565
29,0.52,0.4575
30,0.52,0.46
31,0.53,0.4605
32,0.53,0.4612
33,0.5387,0.4638
34,0.54,0.4645
35,0.5465,0.4662
36,0.55,0.4673
37,0.5543,0.4688
38,0.56,0.4702
39,0.57,0.4712
40,0.57,0.4725
41,0.5799,0.4738
42,0.58,0.4738
43,0.58,0.475
44,0.58,0.4757
45,0.5855,0.4762
46,0.59,0.4767
47,0.59,0.4775
48,0.5972,0.4802
49,0.61,0.4835
50,0.61,0.4862
51,0.61,0.488
52,0.6228,0.4898
53,0.63,0.4938
54,0.63,0.4952
55,0.6345,0.4975
56,0.64,0.498
57,0.65,0.5007
58,0.65,0.5065
59,0.65,0.5075
60,0.65,0.5175
61,0.6579,0.5175
62,0.66,0.5215
63,0.66,0.5235
64,0.66,0.529
65,0.67,0.53
66,0.67,0.535
67,0.68,0.535
68,0.68,0.5365
69,0.6891,0.5397
70,0.69,0.5412
71,0.69,0.5427
72,0.69,0.545
73,0.6947,0.549
74,0.7,0.5515
75,0.7,0.5612
76,0.7,0.5617
77,0.71,0.5625
78,0.71,0.5658
79,0.7181,0.5695
80,0.72,0.5738
81,0.7259,0.5762
82,0.7398,0.5792
83,0.74,0.5818
84,0.74,0.5895
85,0.7409,0.5988
86,0.7471,0.6038
87,0.748,0.6068
88,0.7486,0.609
89,0.7571,0.616
90,0.76,0.625
91,0.7649,0.6345
92,0.7788,0.6395
93,0.79,0.6418
94,0.79,0.6495
95,0.8,0.6662
96,0.8088,0.7023
97,0.82,0.7085
98,0.8244,0.7088
99,0.8705,0.717
