ibge7,ibge6,nome,uf,slug,n_ubs
5200050,520005,Abadia de Goiás,GO,abadia_de_goias,5
3100104,310010,Abadia dos Dourados,MG,abadia_dos_dourados,2
5200100,520010,Abadiânia,GO,abadiania,10
3100203,310020,Abaeté,MG,abaete,7
1500107,150010,Abaetetuba,PA,abaetetuba,63
2300101,230010,Abaiara,CE,abaiara,6
2900108,290010,Abaíra,BA,abaira,6
2900207,290020,Abaré,BA,abare,9
4100103,410010,Abatiá,PR,abatia,4
4200051,420005,Abdon Batista,SC,abdon_batista,1
1500131,150013,Abel Figueiredo,PA,abel_figueiredo,3
4200101,420010,Abelardo Luz,SC,abelardo_luz,7
3100302,310030,Abre Campo,MG,abre_campo,8
2600054,260005,Abreu e Lima,PE,abreu_e_lima,48
1700251,170025,Abreulândia,TO,abreulandia,1
3100401,310040,Acaiaca,MG,acaiaca,4
2100055,210005,Açailândia,MA,acailandia,35
2900306,290030,Acajutiba,BA,acajutiba,7
1500206,150020,Acará,PA,acara,22
2300150,230015,Acarape,CE,acarape,17
2300200,230020,Acaraú,CE,acarau,30
2400109,240010,Acari,RN,acari,8
2200053,220005,Acauã,PI,acaua,3
4300034,430003,Aceguá,RS,acegua,2
2300309,230030,Acopiara,CE,acopiara,23
5100102,510010,Acorizal,MT,acorizal,4
1200013,120001,Acrelândia,AC,acrelandia,9
5200134,520013,Acreúna,GO,acreuna,7
2400208,240020,Açu,RN,acu,18
3100500,310050,Açucena,MG,acucena,8
3500105,350010,Adamantina,SP,adamantina,9
5200159,520015,Adelândia,GO,adelandia,1
3500204,350020,Adolfo,SP,adolfo,1
4100202,410020,Adrianópolis,PR,adrianopolis,3
2900355,290035,Adustina,BA,adustina,9
2600104,260010,Afogados da Ingazeira,PE,afogados_da_ingazeira,26
2400307,240030,Afonso Bezerra,RN,afonso_bezerra,9
3200102,320010,Afonso Cláudio,ES,afonso_claudio,18
2100105,210010,Afonso Cunha,MA,afonso_cunha,3
2600203,260020,Afrânio,PE,afranio,14
